Datum,zonuren_dag
2000-01,1.8064516129032258
2000-02,3.682758620689655
2000-03,2.5838709677419356
2000-04,5.116666666666666
2000-05,6.780645161290322
2000-06,7.716666666666667
2000-07,3.954838709677419
2000-08,6.825806451612903
2000-09,3.8466666666666667
2000-10,3.161290322580645
2000-11,2.03
2000-12,2.2161290322580647
2001-01,2.3129032258064517
2001-02,3.2607142857142857
2001-03,2.041935483870968
2001-04,4.83
2001-05,8.941935483870967
2001-06,6.756666666666666
2001-07,6.961290322580646
2001-08,6.316129032258065
2001-09,3.7533333333333334
2001-10,3.8451612903225807
2001-11,2.1133333333333333
2001-12,2.083870967741935
2002-01,2.458064516129032
2002-02,4.132142857142857
2002-03,5.66774193548387
2002-04,6.573333333333333
2002-05,6.274193548387097
2002-06,6.46
2002-07,5.929032258064517
2002-08,5.058064516129033
2002-09,5.296666666666667
2002-10,3.9419354838709677
2002-11,2.3633333333333337
2002-12,1.3774193548387097
2003-01,2.138709677419355
2003-02,5.632142857142857
2003-03,6.416129032258064
2003-04,7.613333333333333
2003-05,6.183870967741935
2003-06,8.45
2003-07,7.280645161290322
2003-08,7.309677419354839
2003-09,6.47
2003-10,4.767741935483872
2003-11,2.3033333333333332
2003-12,1.9967741935483871
2004-01,1.5516129032258066
2004-02,2.7551724137931037
2004-03,4.032258064516129
2004-04,5.953333333333333
2004-05,6.761290322580645
2004-06,5.76
2004-07,6.361290322580645
2004-08,6.16774193548387
2004-09,6.13
2004-10,4.151612903225806
2004-11,1.82
2004-12,1.729032258064516
2005-01,2.661290322580645
2005-02,3.492857142857143
2005-03,3.193548387096774
2005-04,6.16
2005-05,7.129032258064516
2005-06,8.063333333333334
2005-07,5.025806451612903
2005-08,6.383870967741935
2005-09,6.3566666666666665
2005-10,5.538709677419354
2005-11,2.7199999999999998
2005-12,2.070967741935484
2006-01,2.864516129032258
2006-02,1.917857142857143
2006-03,4.774193548387097
2006-04,5.366666666666666
2006-05,6.33225806451613
2006-06,8.186666666666666
2006-07,9.887096774193548
2006-08,4.0
2006-09,6.02
2006-10,3.4838709677419355
2006-11,2.183333333333333
2006-12,1.5290322580645161
2007-01,1.6129032258064515
2007-02,2.042857142857143
2007-03,5.074193548387097
2007-04,9.473333333333333
2007-05,6.390322580645161
2007-06,5.7266666666666675
2007-07,6.235483870967743
2007-08,6.412903225806452
2007-09,3.856666666666667
2007-10,4.187096774193549
2007-11,2.0633333333333335
2007-12,2.306451612903226
2008-01,1.6161290322580646
2008-02,4.406896551724138
2008-03,3.7612903225806456
2008-04,6.156666666666666
2008-05,8.370967741935484
2008-06,7.75
2008-07,5.858064516129032
2008-08,5.270967741935484
2008-09,4.89
2008-10,4.312903225806451
2008-11,1.7833333333333334
2008-12,2.7387096774193544
2009-01,3.2516129032258063
2009-02,1.6964285714285714
2009-03,4.583870967741936
2009-04,7.55
2009-05,7.625806451612903
2009-06,7.72
2009-07,7.519354838709678
2009-08,7.296774193548386
2009-09,5.33
2009-10,3.9612903225806453
2009-11,1.71
2009-12,1.9258064516129034
2010-01,2.329032258064516
2010-02,1.8857142857142857
2010-03,4.661290322580645
2010-04,8.203333333333333
2010-05,6.132258064516129
2010-06,9.366666666666667
2010-07,8.258064516129032
2010-08,5.258064516129032
2010-09,4.6866666666666665
2010-10,3.5999999999999996
2010-11,1.7266666666666666
2010-12,1.3709677419354838
2011-01,2.232258064516129
2011-02,2.3642857142857143
2011-03,5.97741935483871
2011-04,8.286666666666667
2011-05,8.125806451612904
2011-06,7.05
2011-07,5.077419354838709
2011-08,4.45483870967742
2011-09,5.283333333333333
2011-10,4.874193548387097
2011-11,3.253333333333333
2011-12,1.6935483870967742
2012-01,2.161290322580645
2012-02,3.589655172413793
2012-03,5.367741935483871
2012-04,4.043333333333333
2012-05,6.741935483870968
2012-06,5.276666666666667
2012-07,6.451612903225806
2012-08,7.048387096774194
2012-09,5.426666666666667
2012-10,3.490322580645161
2012-11,1.9833333333333334
2012-12,1.132258064516129
2013-01,2.1451612903225805
2013-02,2.7857142857142856
2013-03,3.9741935483870967
2013-04,6.05
2013-05,5.354838709677419
2013-06,5.913333333333333
2013-07,7.767741935483871
2013-08,7.106451612903226
2013-09,4.566666666666666
2013-10,3.7
2013-11,1.5533333333333335
2013-12,2.435483870967742
2014-01,2.1580645161290324
2014-02,3.125
2014-03,6.538709677419354
2014-04,5.83
2014-05,6.206451612903226
2014-06,7.6
2014-07,6.912903225806452
2014-08,6.419354838709677
2014-09,5.796666666666667
2014-10,3.2225806451612904
2014-11,2.9566666666666666
2014-12,1.8903225806451613
2015-01,1.7451612903225806
2015-02,4.0285714285714285
2015-03,5.054838709677419
2015-04,8.013333333333334
2015-05,7.161290322580645
2015-06,7.763333333333334
2015-07,7.335483870967742
2015-08,6.870967741935484
2015-09,4.953333333333333
2015-10,4.038709677419355
2015-11,1.9266666666666667
2015-12,2.1129032258064515
2016-01,1.8774193548387097
2016-02,3.658620689655172
2016-03,4.616129032258065
2016-04,6.493333333333334
2016-05,6.983870967741935
2016-06,5.319999999999999
2016-07,6.641935483870968
2016-08,7.84516129032258
2016-09,7.026666666666667
2016-10,4.267741935483872
2016-11,2.76
2016-12,1.8903225806451613
2017-01,2.7548387096774194
2017-02,2.1357142857142857
2017-03,5.661290322580645
2017-04,6.180000000000001
2017-05,7.283870967741936
2017-06,7.13
2017-07,6.390322580645161
2017-08,5.800000000000001
2017-09,4.783333333333333
2017-10,3.5483870967741935
2017-11,2.1333333333333333
2017-12,0.7967741935483872
2018-01,1.5225806451612904
2018-02,5.685714285714285
2018-03,4.267741935483872
2018-04,5.840000000000001
2018-05,9.12258064516129
2018-06,6.83
2018-07,10.98709677419355
2018-08,6.638709677419355
2018-09,6.3933333333333335
2018-10,5.793548387096774
2018-11,2.85
2018-12,1.2903225806451613
2019-01,1.832258064516129
2019-02,4.885714285714286
2019-03,3.661290322580645
2019-04,8.233333333333333
2019-05,7.274193548387097
2019-06,8.606666666666666
2019-07,7.751612903225807
2019-08,7.580645161290323
2019-09,5.246666666666667
2019-10,3.2193548387096773
2019-11,2.5533333333333332
2019-12,2.6129032258064515
2020-01,1.2935483870967743
2020-02,2.3379310344827586
2020-03,5.983870967741935
2020-04,9.383333333333333
2020-05,10.46774193548387
2020-06,7.616666666666666
2020-07,6.729032258064516
2020-08,7.235483870967743
2020-09,6.723333333333333
2020-10,2.293548387096774
2020-11,2.7199999999999998
2020-12,1.367741935483871
2021-01,1.6838709677419357
2021-02,4.539285714285714
2021-03,4.54516129032258
2021-04,6.826666666666667
2021-05,6.096774193548387
2021-06,8.1
2021-07,6.264516129032257
2021-08,5.325806451612903
2021-09,5.9399999999999995
2021-10,3.9451612903225803
2021-11,1.9466666666666665
2021-12,1.6225806451612903
